1,journals/tosem/DillonKMMR94,A Graphical Interval Logic for Specifying Concurrent Systems.,Laura K. Dillon   G. Kutty   Louise E. Moser   P. M. Melliar-Smith   Y. S. Ramakrishna   ,1994
2,journals/cacm/FurnasLGD87,The Vocabulary Problem in Human-System Communication.,George W. Furnas   Thomas K. Landauer   Louis M. Gomez   Susan T. Dumais   ,1987
3,journals/coling/HirschbergL94,Empirical Studies on the Disambiguation of Cue Phrases.,Julia Hirschberg   Diane J. Litman   ,1993
4,journals/eswa/ChenWL11,A general knowledge mediation infrastructure for multi-agent systems.,Kun Chen   Huaiqing Wang   Hokyin Lai   ,2011
5,conf/dlog/KaminskiS09,Terminating Tableaux for SOQ with Number Restrictions on Transitive Roles.,Mark Kaminski   Gert Smolka   ,2009
6,conf/cg/Cazenave00,Abstract Proof Search.,Tristan Cazenave   ,2000
7,conf/ilp/DomingosKLPRS08,Markov Logic.,Pedro Domingos   Stanley Kok   Daniel Lowd   Hoifung Poon   Matthew Richardson   Parag Singla   ,2008
8,conf/ijcai/DaiMW09,Domain-Independent Automatic Partitioning for Probabilistic Planning.,Peng Dai   Mausam   Daniel S. Weld   ,2009
9,conf/aaai/DaiMW10,Decision-Theoretic Control of Crowd-Sourced Workflows.,Peng Dai   Mausam   Daniel S. Weld   ,2010
10,journals/tsp/SherlockM98,On the space of orthonormal wavelets.,Barry G. Sherlock   Donald M. Monro   ,1998
11,conf/pg/BajajIP99,Making 3D Textures Practical.,Chandrajit L. Bajaj   Insung Ihm   Sanghun Park   ,1999
12,conf/wise/TorloneA01,A Unified Framework for Data Translation over the Web.,Riccardo Torlone   Paolo Atzeni   ,2001
13,conf/sc/CrawfisMBC93,Volume rendering of 3D scalar and vector fields at LLNL.,Roger Crawfis   Nelson L. Max   Barry G. Becker   Brian Cabral   ,1993
14,conf/uai/WellmanL94,State-Space Abstraction for Anytime Evaluation of Probabilistic Networks.,Michael P. Wellman   Chao-Lin Liu   ,1994
15,journals/bc/FahleP91,Perceptual rivalry between illusory and real contours.,Manfred Fahle   G uuml,
16,conf/dagm/DenglerS90,The Pseudo-Logarithmic Transformation for Robust Displacement Estimation.,Joachim Dengler   Markus Schmidt   ,1990
17,conf/dagm/UlgesB08,A Local Discriminative Model for Background Subtraction.,Adrian Ulges   Thomas M. Breuel   ,2008
18,journals/pami/KulisJG09,Fast Similarity Search for Learned Metrics.,Brian Kulis   Prateek Jain   Kristen Grauman   ,2009
19,journals/heuristics/MitoF04,On Heuristics for Solving Winner Determination Problem in Combinatorial Auctions.,Masaya Mito   Satoshi Fujita   ,2004
20,conf/ausai/LimT05,A Lagrangian Heuristic for Winner Determination Problem in Combinatorial Auctions.,Andrew Lim   Jiqing Tang   ,2005
